E,N,Y
S1949E32,Bear Feat,10-Dec-49
S1949E33,A Ham in a Role,13-Dec-49
S1949E34,Rabbit Hood,24-Dec-49
S1950E01,Home Tweet Home,14-Jan-50
S1950E02,Hurdy-Gurdy Hare,21-Jan-50
S1950E03,Boobs in the Woods,28-Jan-50
S1950E04,Mutiny on the Bunny,11-Feb-50
S1950E05,The Lion's Busy,18-Feb-50
S1950E06,The Scarlet Pumpernickel,4-Mar-50
S1950E07,Homeless Hare,11-Mar-50
S1950E08,Strife with Father,1-Apr-50
S1950E09,The Hypo-Chondri-Cat,15-Apr-50
S1950E10,Big House Bunny,22-Apr-50
S1950E11,The Leghorn Blows at Midnight,6-May-50
S1950E12,His Bitter Half,20-May-50
S1950E13,An Egg Scramble,27-May-50
S1950E14,8 Ball Bunny,8-Jun-50
S1950E15,What's up Doc?,17-Jun-50
S1950E16,All a Bir-r-r-d,24-Jun-50
S1950E17,It's Hummer Time,22-Jul-50
S1950E18,Golden Yeggs,5-Aug-50
S1950E19,Hillbilly Hare,12-Aug-50
S1950E20,Dog Gone South,26-Aug-50
S1950E21,The Ducksters,2-Sep-50
S1950E22,A Fractured Leghorn,16-Sep-50
S1950E23,Bunker Hill Bunny,23-Sep-50
S1950E24,Canary Row,7-Oct-50
S1950E25,Stooge for a Mouse,21-Oct-50
S1950E26,Pop 'im Pop!,28-Oct-50
S1950E27,Bushy Hare,18-Nov-50
S1950E28,Caveman Inki,25-Nov-50
S1950E29,Dog Collared,2-Dec-50
S1950E30,Rabbit of Seville,16-Dec-50
S1950E31,Two's a Crowd,30-Dec-50
S1951E01,Hare We Go,6-Jan-51
S1951E02,A Fox in a Fix,20-Jan-51
S1951E03,Canned Feud,3-Feb-51
S1951E04,Rabbit Every Monday,10-Feb-51
S1951E05,Putty Tat Trouble,24-Feb-51
S1951E06,Corn Plastered,3-Mar-51
S1951E07,Bunny Hugged,10-Mar-51
S1951E08,Scent-imental Romeo,24-Mar-51
S1951E09,A Bone for a Bone,7-Apr-51
S1951E10,The Fair-Haired Hare,14-Apr-51
S1951E11,A Hound for Trouble,28-Apr-51
S1951E12,Early to Bet,12-May-51
S1951E13,Rabbit Fire,19-May-51
S1951E14,Room and Bird,2-Jun-51
S1951E15,Chow Hound,16-Jun-51
S1951E16,French Rarebit,30-Jun-51
S1951E17,The Wearing of the Grin,4-Jul-51
S1951E18,Leghorn Swoggled,28-Jul-51
S1951E19,His Hare Raising Tale,11-Aug-51
S1951E20,Cheese Chasers,25-Aug-51
S1951E21,Lovelorn Leghorn,8-Sep-51
S1951E22,Tweety's S.O.S.,22-Sep-51
S1951E23,Ballot Box Bunny,6-Oct-51
S1951E24,A Bear for Punishment,20-Oct-51
S1951E25,Sleepy Time Possum,3-Nov-51
S1951E26,Drip-Along Daffy,17-Nov-51
S1951E27,Big Top Bunny,1-Dec-51
S1951E28,Tweet Tweet Tweety,15-Dec-51
S1951E29,The Prize Pest,22-Dec-51
S1952E01,Who's Kitten Who?,5-Jan-52
S1952E02,Operation: Rabbit,19-Jan-52
S1952E03,Feed the Kitty,2-Feb-52
S1952E04,Gift Wrapped,16-Feb-52
S1952E05,Foxy by Proxy,23-Feb-52
S1952E06,Thumb Fun,1-Mar-52
S1952E07,14 Carrot Rabbit,15-Mar-52
S1952E08,Beep Beep,24-Mar-52
S1952E09,Little Beau Pepe,29-Mar-52
S1952E10,Kiddin' the Kitten,5-Apr-52
S1952E11,"Water, Water Every Hare",19-Apr-52
S1952E12,Going! Going! Gosh!,23-Apr-52
S1952E13,Little Red Rodent Hood,3-May-52
S1952E14,Sock a Doodle Do,10-May-52
S1952E15,The Hasty Hare,7-Jun-52
S1952E16,Ain't She Tweet,21-Jun-52
S1952E17,Oily Hare,26-Jun-52
S1952E18,The Turn-Tale Wolf,28-Jun-52
S1952E19,Cracked Quack,5-Jul-52
S1952E20,Hoppy-Go-Lucky,9-Aug-52
S1952E21,A Bird in a Guilty Cage,30-Aug-52
S1952E22,Mouse-Warming,8-Sep-52
S1952E23,Rabbit Seasoning,20-Sep-52
S1952E24,The EGGcited Rooster,4-Oct-52
S1952E25,Tree for Two,18-Oct-52
S1952E26,The Super Snooper,11-Nov-52
S1952E27,Rabbit's Kin,19-Nov-52
S1952E28,Terrier-Stricken,29-Nov-52
S1952E29,Fool Coverage,13-Dec-52
S1953E01,Don't Give Up the Sheep,3-Jan-53
S1953E02,Snow Business,17-Jan-53
S1953E03,A Mouse Divided,21-Jan-53
S1953E04,Forward March Hare,14-Feb-53
S1953E05,Kiss Me Cat,21-Feb-53
S1953E06,Duck Amuck,28-Feb-53
S1953E07,Upswept Hare,14-Mar-53
S1953E08,A Peck O' Trouble,28-Mar-53
S1953E09,Fowl Weather,4-Apr-53
S1953E10,Muscle Tussle,18-Apr-53
S1953E11,Southern Fried Rabbit,2-May-53
S1953E12,Ant Pasted,9-May-53
S1953E13,Much Ado About Nutting,23-May-53
S1953E14,There Auto Be a Law,6-Jun-53
S1953E15,Hare Trimmed,20-Jun-53
S1953E16,Tom Tom Tomcat,27-Jun-53
S1953E17,Wild Over You,11-Jul-53
S1953E18,Duck Dodgers in the 24½th Century,25-Jul-53
S1953E19,Bully for Bugs,8-Aug-53
S1953E20,Plop Goes the Weasel,22-Aug-53
S1953E21,Cat-Tails for Two,29-Aug-53
S1953E22,A Street Cat Named Sylvester,5-Sep-53
S1953E23,Zipping Along,14-Sep-53
S1953E24,Lumber Jack-Rabbit,25-Sep-53
S1953E25,"Duck! Rabbit, Duck!",3-Oct-53
S1953E26,Easy Peckin's,17-Oct-53
S1953E27,Catty Cornered,31-Oct-53
S1953E28,Of Rice and Hen,14-Nov-53
S1953E29,Cats A-Weigh,28-Nov-53
S1953E30,Robot Rabbit,12-Dec-53
S1953E31,Punch Trunk,19-Dec-53
S1954E01,Dog Pounded,2-Jan-54
S1954E02,Captain Hareblower,16-Jan-54
S1954E03,I Gopher You,30-Jan-54
S1954E04,Feline Frame-Up,13-Feb-54
S1954E05,Wild Wife,20-Feb-54
S1954E06,No Barking,27-Feb-54
S1954E07,Bugs and Thugs,13-Mar-54
S1954E08,The Cats Bah,20-Mar-54
S1954E09,Design for Leaving,27-Mar-54
S1954E10,Bell Hoppy,17-Apr-54
S1954E11,No Parking Hare,1-May-54
S1954E12,Dr. Jerkyl's Hide,8-May-54
S1954E13,Claws for Alarm,22-May-54
S1954E14,Little Boy Boo,5-Jun-54
S1954E15,Devil May Hare,19-Jun-54
S1954E16,Muzzle Tough,26-Jun-54
S1954E17,The Oily American,10-Jul-54
S1954E18,Bewitched Bunny,24-Jul-54
S1954E19,Satan's Waitin',7-Aug-54
S1954E20,Stop! Look! And Hasten!,14-Aug-54
S1954E21,Yankee Doodle Bugs,28-Aug-54
S1954E22,Gone Batty,4-Sep-54
S1954E23,Goo Goo Goliath,18-Sep-54
S1954E24,By Word of Mouse,2-Oct-54
S1954E25,From A to Z-Z-Z-Z,16-Oct-54
S1954E26,Quack Shot,30-Oct-54
S1954E27,My Little Duckaroo,27-Nov-54
S1954E28,Sheep Ahoy,11-Dec-54
S1954E29,Baby Buggy Bunny,18-Dec-54
S1955E01,Pizzicato Pussycat,1-Jan-55
S1955E02,Feather Dusted,15-Jan-55
S1955E03,Pests for Guests,29-Jan-55
S1955E04,Beanstalk Bunny,12-Feb-55
S1955E05,All Fowled Up,19-Feb-55
S1955E06,Stork Naked,26-Feb-55
S1955E07,Lighthouse Mouse,12-Mar-55
S1955E08,Sahara Hare,26-Mar-55
S1955E09,Sandy Claws,2-Apr-55
S1955E10,The Hole Idea,6-Apr-55
S1955E11,Ready...Set...Zoom!,30-Apr-55
S1955E12,Hare Brush,7-May-55
S1955E13,Past Perfumance,21-May-55
S1955E14,Tweety's Circus,4-Jun-55
S1955E15,Rabbit Rampage,11-Jun-55
S1955E16,Lumber Jerks,25-Jun-55
S1955E17,This is a Life?,9-Jul-55
S1955E18,Double or Mutton,23-Jul-55
S1955E19,Jumpin' Jupiter,6-Aug-55
S1955E20,A Kiddies Kitty,20-Aug-55
S1955E21,Hyde and Hare,27-Aug-55
S1955E22,Dime to Retire,3-Sep-55
S1955E23,Speedy Gonzales,17-Sep-55
S1955E24,Knight-Mare Hare,1-Oct-55
S1955E25,Two Scent's Worth,15-Oct-55
S1955E26,Red Riding Hoodwinked,29-Oct-55
S1955E27,Roman Legion-Hare,12-Nov-55
S1955E28,Heir-Conditioned,26-Nov-55
S1955E29,Guided Muscle,10-Dec-55
S1955E30,Pappy's Puppy,17-Dec-55
S1955E31,One Froggy Evening,31-Dec-55
S1956E01,Bugs' Bonnets,14-Jan-56
S1956E02,Too Hop to Handle,28-Jan-56
S1956E03,Weasel Stop,11-Feb-56
S1956E04,The High and the Flighty,18-Feb-56
S1956E05,Broom-Stick Bunny,25-Feb-56
S1956E06,Rocket Squad,10-Mar-56
S1956E07,Tweet and Sour,24-Mar-56
S1956E08,Heaven Scent,31-Mar-56
S1956E09,Mixed Master,14-Apr-56
S1956E10,Rabbitson Crusoe,28-Apr-56
S1956E11,Gee Whiz-z-z-z-z-z-z,5-May-56
S1956E12,Tree Cornered Tweety,19-May-56
S1956E13,The Unexpected Pest,2-Jun-56
S1956E14,Napoleon Bunny-Part,16-Jun-56
S1956E15,Tugboat Granny,23-Jun-56
S1956E16,Stupor Duck,17-Jul-56
S1956E17,Barbary-Coast Bunny,21-Jul-56
S1956E18,Rocket-bye Baby,4-Aug-56
S1956E19,Half-Fare Hare,18-Aug-56
S1956E20,Raw! Raw! Rooster!,25-Aug-56
S1956E21,The Slap-hoppy Mouse,1-Sep-56
S1956E22,A Star is Bored,15-Sep-56
S1956E23,"Deduce, You Say",29-Sep-56
S1956E24,Yankee Dood It,13-Oct-56
S1956E25,Wideo Wabbit,27-Oct-56
S1956E26,There They Go-Go-Go!,10-Nov-56
S1956E27,Two Crows from Tacos,24-Nov-56
S1956E28,The Honey-Mousers,8-Dec-56
S1956E29,To Hare is Human,15-Dec-56
S1957E01,Three Little Bops,5-Jan-57
S1957E02,Tweet Zoo,12-Jan-57
S1957E03,Scrambled Aches,26-Jan-57
S1957E04,Ali Baba Bunny,9-Feb-57
S1957E05,Go Fly a Kit,23-Feb-57
S1957E06,Bedevilled Rabbit,13-Apr-57
S1957E07,Boyhood Daze,20-Apr-57
S1957E08,"Cheese It, the Cat!",4-May-57
S1957E09,Fox Terror,11-May-57
S1957E10,Tweety and the Beanstalk,16-May-57
S1957E11,Piker's Peak,25-May-57
S1957E12,Steal Wool,8-Jun-57
S1957E13,Boston Quackie,22-Jun-57
S1957E14,"What's Opera, Doc?",6-Jul-57
S1957E15,Tabasco Road,20-Jul-57
S1957E16,Birds Anonymous,10-Aug-57
S1957E17,Ducking the Devil,17-Aug-57
S1957E18,Bugsy and Mugsy,31-Aug-57
S1957E19,Zoom and Bored,4-Sep-57
S1957E20,Greedy for Tweety,28-Sep-57
S1957E21,Touche and Go,12-Oct-57
S1957E22,Show Biz Bugs,2-Nov-57
S1957E23,Mouse-taken Identity,10-Nov-57
S1957E24,Gonzales' Tamales,30-Nov-57
S1957E25,Rabbit Romeo,14-Dec-57
S1958E01,Don't Axe Me,4-Jan-58
S1958E02,Tortilla Flaps,18-Jan-58
S1958E03,Hare-Less Wolf,1-Feb-58
S1958E04,A Pizza Tweety Pie,22-Feb-58
S1958E05,Robin Hood Daffy,8-Mar-58
S1958E06,Hare-way to the Stars,29-Mar-58
S1958E07,"Whoa, Be-Gone!",12-Apr-58
S1958E08,A Waggily Tale,26-Apr-58
S1958E09,Feather Bluster,10-May-58
S1958E10,"Now, Hare This",31-May-58
S1958E11,To Itch His Own,28-Jun-58
S1958E12,Dog Tales,26-Jul-58
S1958E13,Knighty Knight Bugs,23-Aug-58
S1958E14,Weasel While You Work,6-Sep-58
S1958E15,A Bird in a Bonnet,27-Sep-58
S1958E16,"Hook, Line, and Stinker",11-Oct-58
S1958E17,Pre-Hysterical Hare,1-Nov-58
S1958E18,Gopher Broke,15-Nov-58
S1958E19,Hip Hip- Hurry!,6-Dec-58
S1958E20,Cat Feud,20-Dec-58
S1959E01,Baton Bunny,10-Jan-59
S1959E02,Mouse-Placed Kitten,24-Jan-59
S1959E03,China Jones,14-Feb-59
S1959E04,Hare-abian Nights,28-Feb-59
S1959E05,Trick or Tweet,21-Mar-59
S1959E06,The Mouse That Jack Built,4-Apr-59
S1959E07,Apes of Wrath,18-Apr-59
S1959E08,Hot-Rod and Reel!,9-May-59
S1959E09,A Mutt in a Rut,23-May-59
S1959E10,Backwoods Bunny,13-Jun-59
S1959E11,Really Scent,27-Jun-59
S1959E12,Mexicali Shmoes,4-Jul-59
S1959E13,Tweet and Lovely,18-Jul-59
S1959E14,Wild and Woolly Hare,1-Aug-59
S1959E15,Cat's Paw,15-Aug-59
S1959E16,"Here Today, Gone Tamale",29-Aug-59
S1959E17,Bonanza Bunny,5-Sep-59
S1959E18,A Broken Leghorn,26-Sep-59
S1959E19,Wild About Hurry,10-Oct-59
S1959E20,A Witch's Tangled Hare,31-Oct-59
S1959E21,Unnatural History,14-Nov-59
S1959E22,Tweet Dreams,5-Dec-59
S1959E23,People Are Bunny,19-Dec-59
S1960E01,Fastest with the Mostest,19-Jan-60
S1960E02,West of the Pesos,23-Jan-60
S1960E03,Horse Hare,3-Feb-60
S1960E04,Wild Wild World,27-Feb-60
S1960E05,Goldimouse and the Three Cats,15-Mar-60
S1960E06,Person to Bunny,2-Apr-60
S1960E07,Who Scent You?,23-Apr-60
S1960E08,Hyde and Go Tweet,14-May-60
S1960E09,Rabbit's Feat,4-Jun-60
S1960E10,Crockett-Doodle-Do,25-Jun-60
S1960E11,Mouse and Garden,16-Jul-60
S1960E12,"Ready, Woolen and Able",30-Jul-60
S1960E13,Mice Follies,20-Aug-60
S1960E14,From Hare to Heir,3-Sep-60
S1960E15,The Dixie Fryer,24-Sep-60
S1960E16,Hopalong Casualty,8-Oct-60
S1960E17,Trip for Tat,29-Oct-60
S1960E18,Dog Gone People,12-Nov-60
S1960E19,High Note,3-Dec-60
S1960E20,Lighter Than Hare,17-Dec-60
S1961E01,Cannery Woe,7-Jan-61
S1961E02,Zip 'n Snort,21-Jan-61
S1961E03,Hoppy Daze,11-Feb-61
S1961E04,The Mouse on 57th Street,25-Feb-61
S1961E05,Strangled Eggs,18-Mar-61
S1961E06,Birds of a Father,1-Apr-61
S1961E07,D'fightin' Ones,22-Apr-61
S1961E08,The Abominable Snow Rabbit,20-May-61
S1961E09,Lickety-Splat,20-Jun-61
S1961E10,A Scent of the Matterhorn,24-Jun-61
S1961E11,Rebel Without Claws,15-Jul-61
S1961E12,Compressed Hare,29-Jul-61
S1961E13,The Pied Piper of Guadalupe,19-Aug-61
S1961E14,Prince Violent,2-Sep-61
S1961E15,Daffy's Inn Trouble,23-Sep-61
S1961E16,What's My Lion?,21-Oct-61
S1961E17,Beep Prepared,11-Nov-61
S1961E18,The Last Hungry Cat,2-Dec-61
S1961E19,Nelly's Folly,30-Dec-61
S1962E01,Wet Hare,20-Jan-62
S1962E02,A Sheep in the Deep,10-Feb-62
S1962E03,Fish and Slips,10-Mar-62
S1962E04,Quackodile Tears,31-Mar-62
S1962E05,Crows' Feat,21-Apr-62
S1962E06,Mexican Boarders,12-May-62
S1962E07,Bill of Hare,9-Jun-62
S1962E08,Zoom at the Top,30-Jun-62
S1962E09,The Slick Chick,21-Jul-62
S1962E10,Louvre Come Back to Me,18-Aug-62
S1962E11,Honey's Money,1-Sep-62
S1962E12,The Jet Cage,22-Sep-62
S1962E13,Mother was a Rooster,20-Oct-62
S1962E14,Good Noose,10-Nov-62
S1962E15,Shishkabugs,8-Dec-62
S1962E16,Martian Through Georgia,29-Dec-62
S1963E01,I Was a Teenage Thumb,19-Jan-63
S1963E02,Devil's Feud Cake,9-Feb-63
S1963E03,Fast Buck Duck,9-Mar-63
S1963E04,The Million Hare,6-Apr-63
S1963E05,Mexican Cat Dance,20-Apr-63
S1963E06,Now Hear This,27-Apr-63
S1963E07,Woolen Under Where,11-May-63
S1963E08,Hare-breadth Hurry,8-Jun-63
S1963E09,Banty Raids,29-Jun-63
S1963E10,Chili Weather,17-Aug-63
S1963E11,The Unmentionables,7-Sep-63
S1963E12,Aqua Duck,28-Sep-63
S1963E13,Mad as a Mars Hare,19-Oct-63
S1963E14,Claws in the Lease,9-Nov-63
S1963E15,Transylvania 6-5000,30-Nov-63
S1963E16,To Beep or Not to Beep,28-Dec-63
S1964E01,Dumb Patrol,18-Jan-64
S1964E02,A Message to Gracias,8-Feb-64
S1964E03,Bartholomew Versus the Wheel,29-Feb-64
S1964E04,Freudy Cat,14-Mar-64
S1964E05,Dr. Devil and Mr. Hare,28-Mar-64
S1964E06,Nuts and Volts,25-Apr-64
S1964E07,The Iceman Ducketh,16-May-64
S1964E08,War and Pieces,6-Jun-64
S1964E09,Hawaiian Aye Aye,27-Jun-64
S1964E10,False Hare,18-Jul-64
S1964E11,Señorella and the Glass Huarache,1-Aug-64
S1964E12,Pancho's Hideaway,24-Oct-64
S1964E13,Road to Andalay,26-Dec-64
S1965E01,Zip Zip Hooray!,1-Jan-65
S1965E02,Roadrunner a Go-Go,2-Jan-65
S1965E03,It's Nice to Have a Mouse Around the House,16-Jan-65
S1965E04,Cats and Bruises,30-Jan-65
S1965E05,The Wild Chase,27-Feb-65
S1965E06,Moby Duck,27-Mar-65
S1965E07,Assault and Peppered,24-Apr-65
S1965E08,Well Worn Daffy,22-May-65
S1965E09,Suppressed Duck,26-Jun-65
S1965E10,Corn on the Cop,24-Jul-65
S1965E11,Rushing Roulette,31-Jul-65
S1965E12,"Run, Run Sweet Road Runner",21-Aug-65
S1965E13,Tease for Two,28-Aug-65
S1965E14,Tired and Feathered,18-Sep-65
S1965E15,Boulder Wham!,9-Oct-65
S1965E16,Chili Corn Corny,23-Oct-65
S1965E17,Just Plane Beep,30-Oct-65
S1965E18,Hairied and Hurried,13-Nov-65
S1965E19,Go Go Amigo,20-Nov-65
S1965E20,Highway Runnery,11-Dec-65
S1965E21,Chaser on the Rocks,25-Dec-65
S1966E01,The Astroduck,1-Jan-66
S1966E02,Shot and Bothered,8-Jan-66
S1966E03,Out and Out Rout,29-Jan-66
S1966E04,Mucho Locos,5-Feb-66
S1966E05,The Solid Tin Coyote,19-Feb-66
S1966E06,Mexican Mousepiece,26-Feb-66
S1966E07,Clippety Clobbered,12-Mar-66
S1966E08,Daffy Rents,26-Mar-66
S1966E09,A-Haunting We Will Go,16-Apr-66
S1966E10,Snow Excuse,21-May-66
S1966E11,A Squeak in the Deep,19-Jul-66
S1966E12,Feather Finger,20-Aug-66
S1966E13,Swing Ding Amigo,17-Sep-66
S1966E14,Sugar and Spies,5-Nov-66
S1966E15,A Taste of Catnip,3-Dec-66
S1967E01,Daffy's Diner,21-Jan-67
S1967E02,Quacker Tracker,29-Apr-67
S1967E03,The Music Mice-Tro,27-May-67
S1967E04,The Spy Swatter,24-Jun-67
S1967E05,Speedy Ghost to Town,29-Jul-67
S1967E06,Rodent to Stardom,23-Sep-67
S1967E07,Go Away Stowaway,30-Sep-67
S1967E08,Cool Cat,14-Oct-67
S1967E09,Merlin the Magic Mouse,18-Nov-67
S1967E10,Fiesta Fiasco,9-Dec-67
S1968E01,Hocus Pocus Powwow,13-Jan-68
S1968E02,Norman Normal,3-Feb-68
S1968E03,Big Game Haunt,10-Feb-68
S1968E04,Skyscraper Caper,9-Mar-68
S1968E05,Hippydrome Tiger,30-Mar-68
S1968E06,Feud with a Dude,25-May-68
S1968E07,See Ya Later Gladiator,29-Jun-68
S1968E08,3 Ring Wing-Ding,24-Aug-68
S1968E09,Flying Circus,12-Oct-68
S1968E10,Bunny and Claude (We Rob Carrot Patches),9-Nov-68
S1968E11,Chimp & Zee,30-Nov-68
S1969E01,The Great Carrot-Train Robbery,25-Jan-69
S1969E02,Fistic Mystic,29-Mar-69
S1969E03,Rabbit Stew and Rabbits Too!,7-Jun-69
S1969E04,Shamrock and Roll,28-Jun-69
S1969E05,Bugged by a Bee,26-Jul-69
S1969E06,Injun Trouble,20-Sep-69
S1977E01,Bugs Bunny's Easter Funnies,4/7/1977
S1977E02,Bugs Bunny in Space,9/1/1977
S1978E01,Bugs Bunny in King Arthur's Court,2/1/1978
S1978E02,Bugs Bunny's Howl-Oween Special,10/26/1978
S1978E03,How Bugs Bunny Won the West,11/15/1978
S1979E01,Bugs Bunny's Valentine,2/14/1979
S1979E02,The Bugs Bunny Mother's Day Special,5/12/1979
S1979E03,The Bugs Bunny/Road Runner Movie,9/28/1979
S1979E04,Bugs Bunny's Thanksgiving Diet,11/15/1979
S1979E05,Freeze Frame,11/27/1979
S1979E06,Bugs Bunny's Looney Christmas Tales,11/27/1979
S1979E07,Fright Before Christmas,11/27/1979
S1979E08,Bugs Bunny's Christmas Carol,11/27/1979
S1980E01,Daffy Duck’s Easter Egg-Citement,4/1/1980
S1980E02,The Chocolate Chase,4/1/1980
S1980E03,The Yolk's on You,4/1/1980
S1980E04,Daffy Flies North,4/1/1980
S1980E05,Portrait of the Artist as a Young Bunny,5/21/1980
S1980E06,Spaced -Out- Bunny,5/21/1980
S1980E07,Soup or Sonic,5/21/1980
S1980E08,Bugs Bunny's Bustin' Out All Over,5/21/1980
S1980E09,The Bugs Bunny Mystery Special,10/15/1980
S1980E10,Daffy Duck's Thanks-for-Giving Special,11/20/1980
S1980E11,Duck Dodgers and the Return of the 24 ½th Century,12/1/1980
S1981E01,Bugs Bunny: All American Hero,5/4/1981
S1981E02,"The Looney, Looney, Looney Bugs Bunny Movie",11/20/1981
S1982E01,Bugs Bunny's Mad World of Television,1/11/1982
S1982E02,1001 Rabbit Tales,11/19/1982
S1983E01,Daffy Duck's Fantastic Island,8/5/1983
S1986E01,Bugs Bunny's Looney Tunes All-Star 50th Anniversary (1),1/14/1986
S1986E02,Bugs Bunny's Looney Tunes All-Star 50th Anniversary (2),1/14/1986
S1987E01,The Duxorcist,11/20/1987
S1988E01,The Night of the Living Duck,9/23/1988
S1988E02,Daffy Duck's Quackbusters,9/24/1988
S1988E03,Bugs vs. Daffy: Battle of the Music Video Stars,10/21/1988
S1989E01,Bugs Bunny's Wild World of Sports,2/15/1989
S1990E01,"Happy Birthday, Bugs! 50 Looney Years",5/9/1990
S1991E01,Box Office Bunny,2/11/1991
S1991E02,Bugs Bunny's Overtures to Disaster,4/17/1991
S1991E03,Bugs Bunny's Lunar Tunes,6/1/1991
S1991E04,Looney Tunes Hall of Fame,7/6/1991
S1991E05,(Blooper) Bunny!,7/7/1991
S1992E01,Bugs Bunny's Creature Features,2/1/1992
S1992E02,Invasion of the Bunny Snatchers,8/25/1992
S1994E01,Chariots of Fur,12/21/1994
S1995E01,Carrotblanca,8/25/1995
S1995E02,Another Froggy Evening,10/6/1995
S1996E01,Marvin the Martian in the Third Dimension,6/1/1996
S1996E02,Superior Duck,8/23/1996
S1997E01,From Hare to Eternity,1/1/1997
S1997E02,Pullet Surprise,3/26/1997
S1997E03,Blooper Bunny,6/13/1997
S1997E04,Father of the Bird,11/14/1997
S2000E01,Bugs Bunny's Halloween Hijinks,1/1/2000
S2000E02,Tweety's High-Flying Adventure,9/12/2000
S2000E03,Little Go Beep,11/6/2000
S2003E01,Whizzard of Ow,11/1/2003
S2003E02,Museum Scream,11/14/2003
S2004E01,Daffy Duck for President,11/2/2004
S2005E01,Attack of the Drones,2/8/2005
S2005E02,Hare and Loathing in Las Vegas,2/8/2005
S2005E03,Cock-a-Doodle Duel,2/8/2005
S2005E04,My Generation G...G...Gap,2/8/2005
S2006E01,The William Tell Overture,11/14/2006
S2006E02,Bah Humduck! A Looney Tunes Christmas,11/14/2006
S2010E01,Coyote Falls,7/30/2010
S2010E02,Fur of Flying,9/24/2010
S2010E03,Rabid Rider,12/12/2010
S2011E01,I Tawt I Taw a Puddy Tat,11/18/2011
S2012E01,Daffy's Rhapsody,2/10/2012
S2012E02,Yule Be Sorry,12/28/2012
S2014E01,Flash in the Pain,6/10/2014
