E,N,Y
S1937E24,Get Rich Quick Porky,28-Aug-37
S1937E25,Speaking of the Weather,4-Sep-37
S1937E26,Porky's Garden,11-Sep-37
S1937E27,Dog Daze,18-Sep-37
S1937E28,I Wanna Be a Sailor,25-Sep-37
S1937E29,Rover's Rival,9-Oct-37
S1937E30,The Lyin' Mouse,16-Oct-37
S1937E31,The Case of the Stuttering Pig,30-Oct-37
S1937E32,Little Red Walking Hood,6-Nov-37
S1937E33,Porky's Double Trouble,13-Nov-37
S1937E34,The Woods Are Full of Cuckoos,4-Dec-37
S1937E35,Porky's Hero Agency,4-Dec-37
S1937E36,September in the Rain,18-Dec-37
S1938E01,Daffy Duck & Egghead,1-Jan-38
S1938E02,Porky's Poppa,15-Jan-38
S1938E03,My Little Buckeroo,29-Jan-38
S1938E04,Porky at the Crocadero,5-Feb-38
S1938E05,Jungle Jitters,19-Feb-38
S1938E06,What Price Porky,26-Feb-38
S1938E07,The Sneezing Weasel,12-Mar-38
S1938E08,Porky's Phoney Express,19-Mar-38
S1938E09,A Star is Hatched,2-Apr-38
S1938E10,Porky's Five & Ten,16-Apr-38
S1938E11,The Penguin Parade,23-Apr-38
S1938E12,Porky's Hare Hunt,30-Apr-38
S1938E13,Now That Summer is Gone,14-May-38
S1938E14,Injun Trouble,21-May-38
S1938E15,The Isle of Pingo Pongo,28-May-38
S1938E16,Porky the Fireman,4-Jun-38
S1938E17,Katnip Kollege,11-Jun-38
S1938E18,Porky's Party,25-Jun-38
S1938E19,Have You Got Any Castles?,25-Jun-38
S1938E20,Love and Curses,9-Jul-38
S1938E21,Cinderella Meets Fella,23-Jul-38
S1938E22,Porky's Spring Planting,25-Jul-38
S1938E23,Porky & Daffy,6-Aug-38
S1938E24,The Major Lied 'Til Dawn,13-Aug-38
S1938E25,Wholly Smoke,27-Aug-38
S1938E26,A-Lad-in Bagdad,27-Aug-38
S1938E27,Cracked Ice,10-Sep-38
S1938E28,A Feud There Was,24-Sep-38
S1938E29,Porky in Wackyland,24-Sep-38
S1938E30,Little Pancho Vanilla,8-Oct-38
S1938E31,Porky's Naughty Nephew,15-Oct-38
S1938E32,Johnny Smith and Poker-Huntas,22-Oct-38
S1938E33,Porky in Egypt,5-Nov-38
S1938E34,You're an Education,5-Nov-38
S1938E35,The Night Watchman,19-Nov-38
S1938E36,The Daffy Doc,26-Nov-38
S1938E37,Daffy Duck in Hollywood,12-Dec-38
S1938E38,Porky the Gob,17-Dec-38
S1938E39,Count Me Out,17-Dec-38
S1938E40,The Mice Will Play,31-Dec-38
S1939E01,The Lone Stranger and Porky,7-Jan-39
S1939E02,Dog Gone Modern,14-Jan-39
S1939E03,It's an Ill Wind,28-Jan-39
S1939E04,Hamateur Night,28-Jan-39
S1939E05,Robinhood Makes Good,11-Feb-39
S1939E06,Porky's Tire Trouble,18-Feb-39
S1939E07,Gold Rush Daze,25-Feb-39
S1939E08,A Day at the Zoo,11-Mar-39
S1939E09,Porky's Movie Mystery,11-Mar-39
S1939E10,Prest-O Change-O,25-Mar-39
S1939E11,Chicken Jitters,1-Apr-39
S1939E12,Bars and Stripes Forever,8-Apr-39
S1939E13,Daffy Duck and the Dinosaur,22-Apr-39
S1939E14,Porky and Teabiscuit,22-Apr-39
S1939E15,Thugs with Dirty Mugs,6-May-39
S1939E16,Kristopher Kolumbus Jr.,13-May-39
S1939E17,Naughty But Mice,20-May-39
S1939E18,Believe It or Else,3-Jun-39
S1939E19,Polar Pals,3-Jun-39
S1939E20,Hobo Gadget Band,17-Jun-39
S1939E21,Scalp Trouble,24-Jun-39
S1939E22,Old Glory,1-Jul-39
S1939E23,Porky's Picnic,15-Jul-39
S1939E24,Dangerous Dan McFoo,15-Jul-39
S1939E25,Snowman's Land,29-Jul-39
S1939E26,Wise Quacks,5-Aug-39
S1939E27,Hare-um Scare-um,12-Aug-39
S1939E28,Detouring America,26-Aug-39
S1939E29,Little Brother Rat,2-Sep-39
S1939E30,Porky's Hotel,2-Sep-39
S1939E31,Sioux Me,9-Sep-39
S1939E32,Land of the Midnight Fun,23-Sep-39
S1939E33,Jeepers Creepers,23-Sep-39
S1939E34,Naughty Neighbors,7-Oct-39
S1939E35,The Little Lion Hunter,7-Oct-39
S1939E36,The Good Egg,21-Oct-39
S1939E37,Pied Piper Porky,4-Nov-39
S1939E38,Fresh Fish,4-Nov-39
S1939E39,Fagin's Freshman,18-Nov-39
S1939E40,Porky the Giant Killer,18-Nov-39
S1939E41,Sniffles and the Bookworm,2-Dec-39
S1939E42,Screwball Football,16-Dec-39
S1939E43,The Film Fan,16-Dec-39
S1939E44,The Curious Puppy,30-Dec-39
S1940E01,Porky's Last Stand,6-Jan-40
S1940E02,The Early Worm Gets the Bird,13-Jan-40
S1940E03,Africa Squeaks,27-Jan-40
S1940E04,Mighty Hunters,27-Jan-40
S1940E05,Busy Bakers,10-Feb-40
S1940E06,Ali-Baba Bound,10-Feb-40
S1940E07,Elmer's Candid Camera,2-Mar-40
S1940E08,Pilgrim Porky,16-Mar-40
S1940E09,Cross Country Detours,16-Mar-40
S1940E10,Confederate Honey,30-Mar-40
S1940E11,The Bear's Tale,13-Apr-40
S1940E12,Slap Happy Pappy,13-Apr-40
S1940E13,Porky's Poor Fish,27-Apr-40
S1940E14,The Hardship of Miles Standish,27-Apr-40
S1940E15,Sniffles Takes a Trip,11-May-40
S1940E16,You Ought to Be in Pictures,18-May-40
S1940E17,A Gander at Mother Goose,25-May-40
S1940E18,Tom Thumb in Trouble,8-Jun-40
S1940E19,The Chewin' Bruin,8-Jun-40
S1940E20,Circus Today,22-Jun-40
S1940E21,Little Blabbermouse,6-Jul-40
S1940E22,Porky's Baseball Broadcast,6-Jul-40
S1940E23,The Egg Collector,20-Jul-40
S1940E24,A Wild Hare,27-Jul-40
S1940E25,Ghost Wanted,10-Aug-40
S1940E26,Patient Porky,24-Aug-40
S1940E27,Ceiling Hero,24-Aug-40
S1940E28,Malibu Beach Party,14-Sep-40
S1940E29,Calling Dr. Porky,21-Sep-40
S1940E30,Stage Fright,28-Sep-40
S1940E31,Prehistoric Porky,12-Oct-40
S1940E32,Holiday Highlights,12-Oct-40
S1940E33,Good Night Elmer,26-Oct-40
S1940E34,The Sour Puss,2-Nov-40
S1940E35,Wacky Wildlife,9-Nov-40
S1940E36,Bedtime for Sniffles,23-Nov-40
S1940E37,Porky's Hired Hand,30-Nov-40
S1940E38,Of Fox and Hounds,7-Dec-40
S1940E39,The Timid Toreador,21-Dec-40
S1940E40,Shop Look & Listen,21-Dec-40
S1941E01,Elmer's Pet Rabbit,4-Jan-41
S1941E02,Porky's Snooze Reel,11-Jan-41
S1941E03,The Fighting 69½th,18-Jan-41
S1941E04,Sniffles Bells the Cat,1-Feb-41
S1941E05,The Haunted Mouse,15-Feb-41
S1941E06,The Crackpot Quail,15-Feb-41
S1941E07,The Cat's Tale,1-Mar-41
S1941E08,"Joe Glow, the Firefly",8-Mar-41
S1941E09,Tortoise Beats Hare,15-Mar-41
S1941E10,Porky's Bear Facts,29-Mar-41
S1941E11,Goofy Groceries,29-Mar-41
S1941E12,Toy Trouble,12-Apr-41
S1941E13,Porky's Preview,19-Apr-41
S1941E14,The Trial of Mr. Wolf,26-Apr-41
S1941E15,Porky's Ant,10-May-41
S1941E16,Farm Frolics,10-May-41
S1941E17,Hollywood Steps Out,24-May-41
S1941E18,A Coy Decoy,7-Jun-41
S1941E19,Hiawatha's Rabbit Hunt,7-Jun-41
S1941E20,Porky's Prize Pony,21-Jun-41
S1941E21,The Wacky Worm,21-Jun-41
S1941E22,Meet John Doughboy,5-Jul-41
S1941E23,The Heckling Hare,5-Jul-41
S1941E24,Inki and the Lion,19-Jul-41
S1941E25,Aviation Vacation,2-Aug-41
S1941E26,"We, the Animals- Squeak!",9-Aug-41
S1941E27,Sport Chumpions,16-Aug-41
S1941E28,The Henpecked Duck,30-Aug-41
S1941E29,Snowtime for Comedy,30-Aug-41
S1941E30,All This and Rabbit Stew,13-Sep-41
S1941E31,Notes to You,20-Sep-41
S1941E32,The Brave Little Bat,27-Sep-41
S1941E33,The Bug Parade,11-Oct-41
S1941E34,Robinson Crusoe Jr.,25-Oct-41
S1941E35,Rookie Revue,25-Oct-41
S1941E36,Saddle Silly,8-Nov-41
S1941E37,Porky's Midnight Matinee,22-Nov-41
S1941E38,The Cagey Canary,22-Nov-41
S1941E39,Rhapsody in Rivets,6-Dec-41
S1941E40,Wabbit Twouble,20-Dec-41
S1941E41,Porky's Pooch,27-Dec-41
S1942E01,Hop Skip and a Chump,13-Jan-42
S1942E02,Porky's Pastry Pirates,17-Jan-42
S1942E03,The Bird Came C.O.D.,17-Jan-42
S1942E04,Aloha Hooey,31-Jan-42
S1942E05,Who's Who in the Zoo,14-Feb-42
S1942E06,Porky's Cafe,21-Feb-42
S1942E07,Conrad the Sailor,28-Feb-42
S1942E08,Crazy Cruise,14-Mar-42
S1942E09,The Wabbit Who Came to Supper,28-Mar-42
S1942E10,Saps in Chaps,11-Apr-42
S1942E11,Horton Hatches the Egg,11-Apr-42
S1942E12,Dog Tired,25-Apr-42
S1942E13,Daffy's Southern Exposure,2-May-42
S1942E14,The Wacky Wabbit,2-May-42
S1942E15,The Draft Horse,9-May-42
S1942E16,Lights Fantastic,23-May-42
S1942E17,Nutty News,23-May-42
S1942E18,"Hold the Lion, Please",6-Jun-42
S1942E19,Hobby Horse-Laffs,6-Jun-42
S1942E20,Gopher Goofy,27-Jun-42
S1942E21,Double Chaser,27-Jun-42
S1942E22,Bugs Bunny Gets the Boid,11-Jul-42
